driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count
CHDRT64ISST.sys,chdrt64isst.sys,,3.912076950073242,0,0,0
CHDRT64ISSTRS3.sys,chdrt64isstrs3.sys,,3.960590124130249,0,0,0
CHDRT64ISSTRS3_1.sys,chdrt64isstrs3_1.sys,,3.939871072769165,0,0,0
CHDRT64ISSTW81.sys,chdrt64isstw81.sys,,3.628657102584839,0,0,0
CHDRT64ISSTW81_1.sys,chdrt64isstw81_1.sys,,3.7740941047668457,0,0,0
CHDRT64ISST_1.sys,chdrt64isst_1.sys,,3.867541551589966,0,0,0
CHDRT64ISST_2.sys,chdrt64isst_2.sys,,3.892343044281006,0,0,0
CHDRT64ISST_3.sys,chdrt64isst_3.sys,,3.9601423740386963,0,0,0
CHDRT64V54.sys,chdrt64v54.sys,,3.9424757957458496,0,0,0
CHDRT64V54_1.sys,chdrt64v54_1.sys,,3.789923667907715,0,0,0
CHDRT64V64.sys,chdrt64v.sys,,3.79305362701416,0,0,0
CHDRT64V64_1.sys,chdrt64v64_1.sys,,3.8202548027038574,0,0,0
CHDRT64W7.sys,chdrt64w7.sys,,3.925309658050537,0,0,0
CHDRT64W7_1.sys,chdrt64w7_1.sys,,3.7365477085113525,0,0,0
CHDRT64W81.sys,chdrt64w81.sys,,4.082933187484741,0,0,0
CHDRT64W81_1.sys,chdrt64w81_1.sys,,4.298955202102661,0,0,0
CHDRT64_1.sys,chdrt64_1.sys,,4.09571647644043,0,0,0
CHDRT64_2.sys,chdrt64_2.sys,,4.078015327453613,0,0,0
CHDRT64_3.sys,chdrt64_3.sys,,3.9383654594421387,0,0,0
CHRKER.sys,chrker.sys,VULNERABLE,300.08456659317017,0,0,0
CMUAC.sys,cmuac.sys,,4.134333610534668,0,0,0
CMUSBDAC.sys,cmusbdac.sys,,4.174432754516602,0,0,0
CONOS3D71.sys,conos3d71.sys,,3.9189395904541016,0,0,0
CPQBTTN64.sys,cpqbttn.sys,,3.657421827316284,0,0,0
CSI2HostControllerDriver.sys,csi2hostcontrollerdriver.sys,,3.5311508178710938,0,0,0
CSLFD.sys,cslfd.sys,,3.618457794189453,0,0,0
CSLFDX64.sys,cslfdx.sys,,3.798435688018799,0,0,0
CSLFDX64_1.sys,cslfdx64_1.sys,,3.8437933921813965,0,0,0
CSLFDX86.sys,cslfdx.sys,,4.017875671386719,0,0,0
CSLFDX86_1.sys,cslfdx86_1.sys,,3.974597215652466,0,0,0
CSLFD_1.sys,cslfd_1.sys,,3.907747983932495,0,0,0
C_71_B.sys,c_71_b.sys,,4.189991235733032,0,0,0
Camdrl.sys,camdrl.sys,,4.108806848526001,0,0,0
Capt931a.sys,capt931a.sys,,3.9365272521972656,0,0,0
CashdrawerSMBus32.sys,cashdrawersmbus.sys,VULNERABLE,4.816543340682983,0,0,0
CeCdcVUC.sys,cecdcvuc.sys,no sinks found,15.057519435882568,0,0,0
ChaabiDriver.sys,chaabidriver.sys,,3.7021734714508057,0,0,0
CmosDental.sys,cmosdental.sys,,3.6876602172851562,0,0,0
CorsairGamingAudio32.sys,corsairgamingaudio.sys,no sinks found,4.676781892776489,0,0,0
CorsairGamingAudio64.sys,corsairgamingaudio.sys,timeout,300.01048469543457,0,0,0
CreativeLabsUsbAudio.sys,creativelabsusbaudio.sys,no sinks found,36.01091480255127,0,0,0
CreativeLabsUsbAudioks.sys,creativelabsusbaudioks.sys,,3.777711868286133,0,0,0
CtxHDb.sys,ctxhdb.sys,,5.128692626953125,0,0,0
CtxHda.sys,ctxhda.sys,,4.283858776092529,0,0,0
CxRDU253S.sys,cxrdu253s.sys,,3.832589864730835,0,0,0
CxRDU253S_1.sys,cxrdu253s_1.sys,,3.833014488220215,0,0,0
CyDtv.sys,cydtv.sys,,3.6551384925842285,0,0,0
CyDtv_2.sys,cydtv_2.sys,,3.6423022747039795,0,0,0
CypressUsbConsoleWindowsDriver.sys,cypressusbconsolewindowsdriver.sys,no sinks found,6.356086015701294,0,0,0
CypressUsbConsoleWindowsDriver64.sys,cypressusbconsolewindowsdriver.sys,timeout,300.47566294670105,0,0,0
DASL64.sys,dasl.sys,,3.77046275138855,0,0,0
DASL86.sys,dasl.sys,,3.2729082107543945,0,0,0
DDDriver32Dcsa.sys,dddriver32dcsa.sys,,4.242446184158325,0,0,0
DDJ-1000Audio.sys,ddj-1000audio.sys,,3.922532796859741,0,0,0
DDJ-1000Audio64.sys,ddj-1000audio.sys,,4.091907978057861,0,0,0
DDJ-1000Audio64_1.sys,ddj-1000audio64_1.sys,,4.065837860107422,0,0,0
DDJ-1000Audio_1.sys,ddj-1000audio_1.sys,,3.789472818374634,0,0,0
DDJ-1000SRTAudio.sys,ddj-1000srtaudio.sys,,3.942025661468506,0,0,0
DDJ-1000SRTAudio64.sys,ddj-1000srtaudio.sys,,4.0226874351501465,0,0,0
DDJ-1000SRTAudio64_1.sys,ddj-1000srtaudio64_1.sys,,3.9392430782318115,0,0,0
DDJ-1000SRTAudio_1.sys,ddj-1000srtaudio_1.sys,,3.8814914226531982,0,0,0
DDJ-800Audio.sys,ddj-800audio.sys,,3.8224472999572754,0,0,0
DDJ-800Audio64.sys,ddj-800audio.sys,,3.8084828853607178,0,0,0
DDJ-800Audio64_1.sys,ddj-800audio64_1.sys,,3.6989643573760986,0,0,0
DDJ-800Audio_1.sys,ddj-800audio_1.sys,,3.837209939956665,0,0,0
DDJ-FLX10Audio64.sys,ddj-flx10audio.sys,,4.150762557983398,0,0,0
DDJ-FLX10Audio64_1.sys,ddj-flx10audio64_1.sys,,4.225315093994141,0,0,0
DDJ-RBAudio.sys,ddj-rbaudio.sys,,3.750861644744873,0,0,0
DDJ-RBAudio64.sys,ddj-rbaudio.sys,,3.8841705322265625,0,0,0
DDJ-RBAudio64_1.sys,ddj-rbaudio64_1.sys,,3.802138090133667,0,0,0
DDJ-RBAudio_1.sys,ddj-rbaudio_1.sys,,3.7935895919799805,0,0,0
DDJ-REV5Audio64.sys,ddj-rev5audio.sys,,4.172483205795288,0,0,0
DDJ-REV5Audio64_1.sys,ddj-rev5audio64_1.sys,,4.176778078079224,0,0,0
DDJ-REV7Audio64.sys,ddj-rev7audio.sys,,3.8582863807678223,0,0,0
DDJ-REV7Audio64_1.sys,ddj-rev7audio64_1.sys,,3.766822099685669,0,0,0
DDJ-RRAudio.sys,ddj-rraudio.sys,,4.097442150115967,0,0,0
DDJ-RRAudio64.sys,ddj-rraudio.sys,,3.873405933380127,0,0,0
DDJ-RRAudio64_1.sys,ddj-rraudio64_1.sys,,3.778789520263672,0,0,0
DDJ-RRAudio_1.sys,ddj-rraudio_1.sys,,4.289999723434448,0,0,0
DDJ-RZAudio.sys,ddj-rzaudio.sys,,3.8927042484283447,0,0,0
DDJ-RZAudio64.sys,ddj-rzaudio.sys,,3.952139377593994,0,0,0
DDJ-RZAudio64_1.sys,ddj-rzaudio64_1.sys,,3.9331436157226562,0,0,0
DDJ-RZAudio_1.sys,ddj-rzaudio_1.sys,,3.7987167835235596,0,0,0
DDJ-RZXAudio.sys,ddj-rzxaudio.sys,,3.9148495197296143,0,0,0
DDJ-RZXAudio64.sys,ddj-rzxaudio.sys,,3.9264140129089355,0,0,0
DDJ-RZXAudio64_1.sys,ddj-rzxaudio64_1.sys,,3.97125506401062,0,0,0
DDJ-RZXAudio_1.sys,ddj-rzxaudio_1.sys,,4.018550157546997,0,0,0
DDJ-SR2Audio.sys,ddj-sr2audio.sys,,4.1110618114471436,0,0,0
DDJ-SR2Audio64.sys,ddj-sr2audio.sys,,3.6559064388275146,0,0,0
DDJ-SR2Audio64_1.sys,ddj-sr2audio64_1.sys,,3.7312564849853516,0,0,0
DDJ-SR2Audio_1.sys,ddj-sr2audio_1.sys,,4.005414247512817,0,0,0
DDJ-SX3Audio.sys,ddj-sx3audio.sys,,4.051525831222534,0,0,0
DDJ-SX3Audio64.sys,ddj-sx3audio.sys,,3.730849504470825,0,0,0
DDJ-SX3Audio64_1.sys,ddj-sx3audio64_1.sys,,3.6371688842773438,0,0,0
DDJ-SX3Audio_1.sys,ddj-sx3audio_1.sys,,3.918809413909912,0,0,0
DDJ-SZ2Audio.sys,ddj-sz2audio.sys,,4.007745027542114,0,0,0
DDJ-SZ2Audio64.sys,ddj-sz2audio.sys,,4.162836074829102,0,0,0
DDJ-SZ2Audio64_1.sys,ddj-sz2audio64_1.sys,,4.112579822540283,0,0,0
DDJ-SZ2Audio_1.sys,ddj-sz2audio_1.sys,,3.989192008972168,0,0,0
DDJ-SZAudio.sys,ddj-szaudio.sys,,3.963048219680786,0,0,0
DDJ-SZAudio64.sys,ddj-szaudio.sys,,3.6738970279693604,0,0,0
DDJ-SZAudio64_1.sys,ddj-szaudio64_1.sys,,3.7071752548217773,0,0,0
DDJ-SZAudio_1.sys,ddj-szaudio_1.sys,,3.8799500465393066,0,0,0
DEXFREQ4.sys,dexfreq4.sys,,4.020118474960327,0,0,0
DFKBfilter.sys,dfkbfilter.sys,no sinks found,19.748474597930908,0,0,0
DFMousefilter.sys,dfmousefilter.sys,no sinks found,6.116065502166748,0,0,0
DGC.sys,dgc.sys,no sinks found,269.5018744468689,0,0,0
DJM-2000Audio.sys,djm-2000audio.sys,,3.9150912761688232,0,0,0
DJM-2000Audio64.sys,djm-2000audio.sys,,4.063486576080322,0,0,0
DJM-2000Audio64_1.sys,djm-2000audio64_1.sys,,4.0578391551971436,0,0,0
DJM-2000Audio_1.sys,djm-2000audio_1.sys,,3.866135358810425,0,0,0
DJM-250MK2Audio.sys,djm-250mk2audio.sys,,4.204992055892944,0,0,0
DJM-250MK2Audio64.sys,djm-250mk2audio.sys,,3.8866801261901855,0,0,0
DJM-250MK2Audio64_1.sys,djm-250mk2audio64_1.sys,,3.9705162048339844,0,0,0
DJM-250MK2Audio_1.sys,djm-250mk2audio_1.sys,,4.05303168296814,0,0,0
DJM-450Audio.sys,djm-450audio.sys,,4.161227703094482,0,0,0
DJM-450Audio64.sys,djm-450audio.sys,,4.017867565155029,0,0,0
DJM-450Audio64_1.sys,djm-450audio64_1.sys,,3.9258155822753906,0,0,0
DJM-450Audio_1.sys,djm-450audio_1.sys,,4.104792356491089,0,0,0
DJM-750Audio.sys,djm-750audio.sys,,3.8296451568603516,0,0,0
DJM-750Audio64.sys,djm-750audio.sys,,4.068799018859863,0,0,0
DJM-750Audio64_1.sys,djm-750audio64_1.sys,,4.197455644607544,0,0,0
DJM-750Audio_1.sys,djm-750audio_1.sys,,3.877997875213623,0,0,0
