driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run0,dp_drivers_pack_extended_sinks_signed_timeout300_run0_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2,dp_drivers_pack_extended_sinks_signed_timeout300_run2_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5,dp_drivers_pack_extended_sinks_signed_timeout300_run5_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_rw_primitive_count
rockusb_1.sys,rockusb_1.sys,no sinks found,34.30624747276306,0,0,0,no sinks found,34.4834361076355,0,0,0,no sinks found,48.913400411605835,0,0,0,no sinks found,82.07852005958557,0,0,0
rt630x64.sys,rt630.sys,,4.0477588176727295,0,0,0,,3.8550992012023926,0,0,0,,4.018772840499878,0,0,0,,3.943439483642578,0,0,0
rt630x64_1.sys,rt630x64_1.sys,,4.430100440979004,0,0,0,,3.648348808288574,0,0,0,,3.832866907119751,0,0,0,,3.9836337566375732,0,0,0
rt630x86.sys,rt630.sys,,4.309849262237549,0,0,0,,4.107969760894775,0,0,0,,4.159958124160767,0,0,0,,3.991995096206665,0,0,0
rt630x86_1.sys,rt630x86_1.sys,,4.2318220138549805,0,0,0,,4.097839593887329,0,0,0,,4.334035634994507,0,0,0,,4.066431522369385,0,0,0
rt640x64.sys,rt640.sys,,4.043163061141968,0,0,0,,3.8560731410980225,0,0,0,,3.971214532852173,0,0,0,,3.919205665588379,0,0,0
rt640x64_1.sys,rt640x64_1.sys,,3.9832887649536133,0,0,0,,3.8435490131378174,0,0,0,,3.9896833896636963,0,0,0,,3.9188764095306396,0,0,0
rt640x86.sys,rt640.sys,,4.018786907196045,0,0,0,,4.1444032192230225,0,0,0,,4.241436004638672,0,0,0,,3.800032377243042,0,0,0
rt640x86_1.sys,rt640x86_1.sys,,4.024892807006836,0,0,0,,4.130710124969482,0,0,0,,4.265002727508545,0,0,0,,3.982668876647949,0,0,0
rt64win7.sys,rt64win7.sys,,4.05109977722168,0,0,0,,4.068780422210693,0,0,0,,4.1194422245025635,0,0,0,,3.992097854614258,0,0,0
rt64win7_1.sys,rt64win7_1.sys,,4.073865652084351,0,0,0,,3.9465620517730713,0,0,0,,4.184084177017212,0,0,0,,3.917367935180664,0,0,0
rt86win7.sys,rt86win7.sys,,4.31406831741333,0,0,0,,4.048294544219971,0,0,0,,4.377087116241455,0,0,0,,3.9660661220550537,0,0,0
rt86win7_1.sys,rt86win7_1.sys,,4.330340623855591,0,0,0,,4.165877103805542,0,0,0,,4.312287092208862,0,0,0,,4.001873254776001,0,0,0
rtbth.sys,rtbth.sys,,7.636134147644043,0,0,0,timeout,300.0246868133545,0,0,0,timeout,300.02262020111084,0,0,0,,6.954490900039673,0,0,0
rtbth_1.sys,rtbth_1.sys,timeout,300.02282547950745,0,0,0,timeout,300.0377206802368,0,0,0,timeout,300.03434896469116,0,0,0,timeout,300.0228519439697,0,0,0
rtf64x64.sys,rtf.sys,,3.6678459644317627,0,0,0,,3.478499412536621,0,0,0,,5.638183116912842,0,0,0,,5.7836010456085205,0,0,0
rtf64x64_1.sys,rtf64x64_1.sys,,3.737281560897827,0,0,0,,3.4924538135528564,0,0,0,,5.48875880241394,0,0,0,,6.420597553253174,0,0,0
rtl8150x64_1.sys,rtl8150x64_1.sys,,4.425407886505127,0,0,0,,4.29428243637085,0,0,0,,4.13788366317749,0,0,0,,9.32021427154541,0,0,0
rtl8150x64_3.sys,rtl8150x64_3.sys,,5.762438058853149,0,0,0,,4.207147121429443,0,0,0,,4.181408643722534,0,0,0,,9.528553247451782,0,0,0
rtl8185.sys,rtl8185.sys,,4.142756223678589,0,0,0,,4.073647499084473,0,0,0,,4.339571475982666,0,0,0,,4.174691915512085,0,0,0
rtl8187B.sys,rtl8187b.sys,,3.6953938007354736,0,0,0,,3.8844456672668457,0,0,0,,3.89463472366333,0,0,0,,3.909597635269165,0,0,0
rtl8188ee.sys,rtl8188ee.sys,,3.981440544128418,0,0,0,,3.848253011703491,0,0,0,,4.044129371643066,0,0,0,,3.8113656044006348,0,0,0
rtl8188gu.sys,rtl8188gu.sys,,4.2435009479522705,0,0,0,,4.078146934509277,0,0,0,,4.395373821258545,0,0,0,,3.849824905395508,0,0,0
rtl8188gu_XP.sys,rtl8188gu_.sys,,4.383007526397705,0,0,0,,4.319192886352539,0,0,0,,4.306938409805298,0,0,0,,4.092440843582153,0,0,0
rtl8192ce.sys,rtl8192ce.sys,,4.143915414810181,0,0,0,,3.785731554031372,0,0,0,,4.330289602279663,0,0,0,,4.0439605712890625,0,0,0
rtl8192de.sys,rtl8192de.sys,,4.068996429443359,0,0,0,,4.167595148086548,0,0,0,,4.242335557937622,0,0,0,,4.06048059463501,0,0,0
rtl8192du.sys,rtl8192du.sys,,3.967529058456421,0,0,0,,3.6651501655578613,0,0,0,,4.314967393875122,0,0,0,,3.88283634185791,0,0,0
rtl8192se.sys,rtl8192se.sys,,4.153491020202637,0,0,0,,4.008975028991699,0,0,0,,4.303181886672974,0,0,0,,3.982221841812134,0,0,0
rtl8192su.sys,rtl8192su.sys,,4.076102256774902,0,0,0,,3.827360153198242,0,0,0,,3.8578789234161377,0,0,0,,3.814774513244629,0,0,0
rtl8192u.sys,rtl8192u.sys,,3.9833810329437256,0,0,0,,3.703535556793213,0,0,0,,3.900628089904785,0,0,0,,3.7877695560455322,0,0,0
rtl819xp.sys,rtl819.sys,,3.9373326301574707,0,0,0,,3.588143825531006,0,0,0,,3.634260654449463,0,0,0,,3.552605628967285,0,0,0
rtlh64.sys,rtlh.sys,,3.882244348526001,0,0,0,,3.9617676734924316,0,0,0,,4.071409702301025,0,0,0,,3.920029401779175,0,0,0
rtlh64_1.sys,rtlh64_1.sys,,3.893570899963379,0,0,0,,3.9212543964385986,0,0,0,,4.013659238815308,0,0,0,,3.875758171081543,0,0,0
rtlh86.sys,rtlh.sys,,3.8650126457214355,0,0,0,,3.934023857116699,0,0,0,,4.162027597427368,0,0,0,,3.941638231277466,0,0,0
rtlh86_1.sys,rtlh86_1.sys,,4.0271971225738525,0,0,0,,4.099030256271362,0,0,0,,4.224434852600098,0,0,0,,3.9278945922851562,0,0,0
rtump62x64.sys,rtump62.sys,,4.341948986053467,0,0,0,,4.219062328338623,0,0,0,,4.390574932098389,0,0,0,,4.177875280380249,0,0,0
rtump62x64_1.sys,rtump62x64_1.sys,,4.210754156112671,0,0,0,,4.0888049602508545,0,0,0,,4.162194728851318,0,0,0,,4.155212879180908,0,0,0
rtump62x86.sys,rtump62.sys,,4.339860916137695,0,0,0,,4.164043426513672,0,0,0,,4.384918928146362,0,0,0,,3.9518516063690186,0,0,0
rtump62x86_1.sys,rtump62x86_1.sys,,4.32940936088562,0,0,0,,4.034856081008911,0,0,0,,4.277652740478516,0,0,0,,3.9973185062408447,0,0,0
rtump63x64.sys,rtump63.sys,,4.142008066177368,0,0,0,,4.030240535736084,0,0,0,,4.291755199432373,0,0,0,,4.041971683502197,0,0,0
rtump63x64_1.sys,rtump63x64_1.sys,,4.387048244476318,0,0,0,,4.2027904987335205,0,0,0,,4.171287536621094,0,0,0,,3.9271280765533447,0,0,0
rtump63x86.sys,rtump63.sys,,4.094787836074829,0,0,0,,3.8950798511505127,0,0,0,,4.789693832397461,0,0,0,,3.811739206314087,0,0,0
rtump63x86_1.sys,rtump63x86_1.sys,,4.066272974014282,0,0,0,,4.062771797180176,0,0,0,,4.535416841506958,0,0,0,,3.731701612472534,0,0,0
rtump64x64.sys,rtump.sys,,3.7147510051727295,0,0,0,,3.594710111618042,0,0,0,,4.012193441390991,0,0,0,,3.7551400661468506,0,0,0
